Period,total_montly_ride_counts
citi2021_1,11624
citi2021_2,4881
citi2021_3,17123
citi2021_4,23774
citi2021_5,45043
citi2021_6,71442
citi2021_7,82578
citi2021_8,93821
citi2021_9,97313
citi2021_10,88762
citi2021_11,60061
citi2021_12,48021
citi2022_1,26762
citi2022_2,31911
citi2022_3,51671
citi2022_4,62528
citi2022_5,80482
citi2022_6,103299
citi2022_7,108502
citi2022_8,115231
citi2022_9,104247
citi2022_10,89558
citi2022_11,72709
citi2022_12,48585
citi2023_1,56075
citi2023_2,51213
citi2023_3,63072
citi2023_4,80688
citi2023_5,96002
citi2023_6,97023
citi2023_7,106608
citi2023_8,112027
citi2023_9,94233
citi2023_10,97584
citi2023_11,75646
